region,division,school_id,school_name,province,legislative_district,municipality,barangay,entity_name,type_of_ownership,ownership,buildable_space,dimension,scope_of_work,total_classrooms,classroom_requirement,estimated_classroom_shortage
BARMM,Maguindanao I,134030,Katidtuan ES,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),KATIDTUAN,DEPED,DOD-DEED OF DONATION,With Ownership,,,,9,9,0
BARMM,Maguindanao I,134033,Maitong ES,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),MAITONG,DEPED,DOD-DEED OF DONATION,With Ownership,,,,7,9,2
BARMM,Maguindanao I,216534,Pened PS,MAGUINDANAO,Maguindanao del Norte Lone,KABUNTALAN (TUMBAO),PENED,DEPED,DOD-DEED OF DONATION,With Ownership,,,,2,4,2
BARMM,Maguindanao I,318301,Datu Usngan S. Mastura NHS,MAGUINDANAO,Maguindanao del Norte Lone,SULTAN KUDARAT (NULING),PINARING,DEPED,PP-PRESIDENTIAL PROCLAMATION,With Ownership,,,,10,24,14
BARMM,Maguindanao I,134147,Maguindanaon ES,MAGUINDANAO,Maguindanao del Norte Lone,SULTAN KUDARAT (NULING),BANUBO,DEPED,TD-TAX DECLARATION,With Ownership,,,,25,48,23
CAR,Abra,134966,Agtangao ES,ABRA,Abra Lone,BANGUED (Capital),AGTANGAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,35 x 15,2 storey 6 classrooms with laboratory,14,13,0
CAR,Abra,134977,Bañacao ES,ABRA,Abra Lone,BANGUED (Capital),BAÑACAO,DEPED,OCT-SP,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,8,8,0
CAR,Abra,134978,Bangbangar ES,ABRA,Abra Lone,BANGUED (Capital),BANGBANGAR,DEPED,OCT-SP,With Ownership,Yes but with demolition,0,2UNIT/s-2STY4CL,12,7,0
CAR,Abra,134968,Bangued East Central School,ABRA,Abra Lone,BANGUED (Capital),ZONE 3 POB. (LALAUD),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,0,1UNIT/s-2STY4CL,15,15,0
CAR,Abra,134979,Bangued West CS,ABRA,Abra Lone,BANGUED (Capital),ZONE 3 POB. (LALAUD),DEPED,TD-TAX DECLARATION,With Ownership,Yes with buildable space,25 x 15,2 storey 4 classrooms,34,30,1
