region,division,school_id,school_name,province,legislative_district,municipality,barangay,type_of_ownership,ownership,buildable_space,dimension,scope_of_work
BARMM,Special Geographic Area Division,306359,DUNGUAN-MATANOG HIGH SCHOOL,(SGA - North Cotabato),Cotabato (North) 1st,(SGA - North Cotabato),DUNGUAN,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,305617,Balong High School,(SGA - North Cotabato),Cotabato (North) 1st,(SGA - North Cotabato),BALONG,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,304479,Matilac HS,NORTH COTABATO,Cotabato (North) 1st,(SGA - North Cotabato),MATILAC,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,304489,Olandang NHS,NORTH COTABATO,Cotabato (North) 1st,(SGA - North Cotabato),OLANDANG,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,306358,MALINGAO HIGH SCHOOL,(SGA - North Cotabato),No LD,(SGA - North Cotabato),MALINGAO,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,137315,PANTADEN PRIMARY SCHOOL,(SGA - North Cotabato),No LD,(SGA - North Cotabato),KIB-AYAO,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,137314,SAYUGAN PRIMARY SCHOOL,(SGA - North Cotabato),No LD,(SGA - North Cotabato),NASAPIAN,,47K LIST - No Status of Site ownership,,,
BARMM,Special Geographic Area Division,306360,TUPIG HIGH SCHOOL,(SGA - North Cotabato),No LD,(SGA - North Cotabato),TUPIG,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,215015,Akbar ES,BASILAN,Basilan Lone,AKBAR,UPPER BATO-BATO,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,318004,AKBAR NATIONAL HIGH SCHOOL,BASILAN,Basilan Lone,AKBAR,UPPER BATO-BATO,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133137,Bato-Bato ES,BASILAN,Basilan Lone,AKBAR,LOWER BATO-BATO,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133186,Caddayan ES,BASILAN,Basilan Lone,AKBAR,CADDAYAN,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133198,Linongan PS,BASILAN,Basilan Lone,AKBAR,LINONGAN,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133200,Mangalut ES,BASILAN,Basilan Lone,AKBAR,MANGALUT,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133206,Semut ES,BASILAN,Basilan Lone,AKBAR,SEMUT,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,306295,AL-BARKA NATIONAL HIGH SCHOOL,BASILAN,Basilan Lone,AL-BARKA,MAGCAWA,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133181,Bato-Bato ES,BASILAN,Basilan Lone,AL-BARKA,BATO-BATO,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133157,Baunoh Peggesan ES,BASILAN,Basilan Lone,AL-BARKA,APIL-APIL,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133159,Bohepiang PS,BASILAN,Basilan Lone,AL-BARKA,BOHE-PIANG,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133143,Bucalao PS,BASILAN,Basilan Lone,AL-BARKA,BUCALAO,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133144,Cambug ES,BASILAN,Basilan Lone,AL-BARKA,CAMBUG,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133163,Danapah ES,BASILAN,Basilan Lone,AL-BARKA,DANAPAH,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133164,Guinanta/Magcawa ES,BASILAN,Basilan Lone,AL-BARKA,GUINANTA,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133165,Kailih ES,BASILAN,Basilan Lone,AL-BARKA,KAILIH,,47K LIST - No Status of Site ownership,,,
BARMM,Basilan,133166,Kinukutan ES,BASILAN,Basilan Lone,AL-BARKA,KINUKUTAN,,47K LIST - No Status of Site ownership,,,
