region,division,classification,position,status,item_status,number
Region VIII - Eastern Visayas,Division of Leyte,Teaching Personnel,Teacher III,Filled,Regular,9129
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher III,Filled,Regular,8865
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Filled,Regular,8845
Region II - Cagayan Valley,Division of Isabela,Teaching Personnel,Teacher III,Filled,Regular,8639
Region VII - Central Visayas,Division of Bohol,Teaching Personnel,Teacher III,Filled,Regular,7872
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher I,Filled,Regular,7614
Region II - Cagayan Valley,Division of Cagayan,Teaching Personnel,Teacher III,Filled,Regular,7430
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher III,Filled,Regular,6951
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher III,Filled,Regular,6754
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher III,Filled,Regular,6424
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher I,Filled,Regular,6068
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher III,Filled,Regular,5964
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher I,Filled,Regular,5886
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher I,Filled,Regular,5854
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher III,Filled,Regular,5791
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher I,Filled,Regular,5770
Region I - Ilocos,Division of Pangasinan II,Teaching Personnel,Teacher III,Filled,Regular,5570
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher I,Filled,Regular,5547
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher III,Filled,Regular,5389
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher III,Filled,Regular,5363
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher I,Filled,Regular,5298
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher II,Filled,Regular,5051
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher I,Filled,Regular,5045
Region X - Northern Mindanao,Division of Bukidnon,Teaching Personnel,Teacher I,Filled,Regular,4961
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Teaching Personnel,Teacher III,Filled,Regular,4813
Region IVB - MIMAROPA,Division of Palawan,Teaching Personnel,Teacher I,Filled,Regular,4795
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher I,Filled,Regular,4721
Region IX - Zamboanga Peninsula,Division of Zamboanga del Norte,Teaching Personnel,Teacher III,Filled,Regular,4710
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher I,Filled,Regular,4704
Region V - Bicol,Division of Albay,Teaching Personnel,Teacher III,Filled,Regular,4618
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher III,Filled,Regular,4561
Region I - Ilocos,Division of Pangasinan I,Teaching Personnel,Teacher VI,Filled,Regular,4529
Region III - Central Luzon,Division of Tarlac,Teaching Personnel,Teacher III,Filled,Regular,4382
Region VIII - Eastern Visayas,Division of Northern Samar,Teaching Personnel,Teacher III,Filled,Regular,4369
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher II,Filled,Regular,4300
National Capital Region (NCR),Division of Caloocan,Teaching Personnel,Teacher I,Filled,Regular,4087
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher II,Filled,Regular,4062
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher III,Filled,Regular,4047
Region X - Northern Mindanao,Division of Misamis Oriental,Teaching Personnel,Teacher I,Filled,Regular,3987
Negros Island Region (NIR),Division of Negros Oriental,Teaching Personnel,Teacher III,Filled,Regular,3973
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher III,Filled,Regular,3969
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Teaching Personnel,Teacher III,Filled,Regular,3897
Region I - Ilocos,Division of Pangasinan I,Teaching Personnel,Teacher III,Filled,Regular,3847
Region VII - Central Visayas,Division of Bohol,Teaching Personnel,Teacher I,Filled,Regular,3800
Region V - Bicol,Division of Sorsogon,Teaching Personnel,Teacher III,Filled,Regular,3761
Region VIII - Eastern Visayas,Division of Samar,Teaching Personnel,Teacher III,Filled,Regular,3721
Region IVB - MIMAROPA,Division of Oriental Mindoro,Teaching Personnel,Teacher III,Filled,Regular,3568
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher II,Filled,Regular,3544
Region XI - Davao,Division of Davao de Oro,Teaching Personnel,Teacher I,Filled,Regular,3525
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher III,Filled,Regular,3461
Region VII - Central Visayas,Division of Cebu City,Teaching Personnel,Teacher III,Filled,Regular,3453
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher III,Filled,Regular,3430
Region VIII - Eastern Visayas,Division of Leyte,Teaching Personnel,Teacher I,Filled,Regular,3394
Region IVB - MIMAROPA,Division of Palawan,Teaching Personnel,Teacher III,Filled,Regular,3389
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Teaching Personnel,Teacher I,Filled,Regular,3376
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher III,Filled,Regular,3281
National Capital Region (NCR),Division of Manila,Teaching Personnel,Teacher I,Filled,Regular,3274
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher I,Filled,Regular,3233
Region IVA - CALABARZON,Division of Laguna,Teaching Personnel,Teacher III,Filled,Regular,3208
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher I,Filled,Regular,3154
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher II,Filled,Regular,3135
Region VI - Western Visayas,Division of Antique,Teaching Personnel,Teacher I,Filled,Regular,3030
National Capital Region (NCR),Division of Manila,Teaching Personnel,Teacher III,Filled,Regular,3019
Region XI - Davao,Division of Davao City,Teaching Personnel,Teacher III,Filled,Regular,2977
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher I,Filled,Regular,2956
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher I,Filled,Regular,2926
Region I - Ilocos,Division of Ilocos Sur,Teaching Personnel,Teacher III,Filled,Regular,2919
Region II - Cagayan Valley,Division of Nueva Vizcaya,Teaching Personnel,Teacher III,Filled,Regular,2856
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Teaching Personnel,Teacher III,Filled,Regular,2830
National Capital Region (NCR),Division of Manila,Teaching Personnel,Teacher II,Filled,Regular,2826
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher I,Filled,Regular,2802
Region XII - SOCCSKSARGEN,Division of Sarangani,Teaching Personnel,Teacher I,Filled,Regular,2787
National Capital Region (NCR),Division of Caloocan,Teaching Personnel,Teacher III,Filled,Regular,2765
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher II,Filled,Regular,2660
Region V - Bicol,Division of Camarines Norte,Teaching Personnel,Teacher III,Filled,Regular,2647
National Capital Region (NCR),Division of Taguig and Pateros,Teaching Personnel,Teacher I,Filled,Regular,2646
Region I - Ilocos,Division of La Union,Teaching Personnel,Teacher III,Filled,Regular,2629
Region X - Northern Mindanao,Division of Cagayan de Oro City,Teaching Personnel,Teacher I,Filled,Regular,2616
Region X - Northern Mindanao,Division of Bukidnon,Teaching Personnel,Teacher III,Filled,Regular,2612
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Teaching Personnel,Teacher III,Filled,Regular,2603
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher I,Filled,Regular,2585
Region XIII - CARAGA,Division of Agusan del Sur,Teaching Personnel,Teacher III,Filled,Regular,2584
Region V - Bicol,Division of Albay,Teaching Personnel,Teacher I,Filled,Regular,2581
Region IVB - MIMAROPA,Division of Occidental Mindoro,Teaching Personnel,Teacher III,Filled,Regular,2578
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher II,Filled,Regular,2547
Region XII - SOCCSKSARGEN,Division of South Cotabato,Teaching Personnel,Teacher III,Filled,Regular,2532
